time,Vout,V1
0,0.500176906,0.5
1E-10,0.500176906,0.5
2E-10,0.500176906,0.5
4E-10,0.500176906,0.5
8E-10,0.500176907,0.5
1.6E-09,0.500176907,0.5
3.2E-09,0.500176909,0.5
6.4E-09,0.500176911,0.5
1.28E-08,0.500176914,0.5
2.28E-08,0.500176916,0.5
3.28E-08,0.500176914,0.5
4.28E-08,0.50017691,0.5
5.28E-08,0.500176906,0.5
6.28E-08,0.500176901,0.5
7.28E-08,0.500176897,0.5
8.28E-08,0.500176894,0.5
9.28E-08,0.500176891,0.5
1.028E-07,0.500176889,0.5
1.128E-07,0.500176888,0.5
1.228E-07,0.500176887,0.5
1.328E-07,0.500176887,0.5
1.428E-07,0.500176887,0.5
1.528E-07,0.500176887,0.5
1.628E-07,0.500176887,0.5
1.728E-07,0.500176887,0.5
1.828E-07,0.500176888,0.5
1.928E-07,0.500176889,0.5
2.028E-07,0.500176889,0.5
2.128E-07,0.50017689,0.5
2.228E-07,0.500176891,0.5
2.328E-07,0.500176891,0.5
2.428E-07,0.500176892,0.5
2.528E-07,0.500176893,0.5
2.628E-07,0.500176893,0.5
2.728E-07,0.500176894,0.5
2.828E-07,0.500176894,0.5
2.928E-07,0.500176895,0.5
3.028E-07,0.500176895,0.5
3.128E-07,0.500176896,0.5
3.228E-07,0.500176896,0.5
3.328E-07,0.500176897,0.5
3.428E-07,0.500176897,0.5
3.528E-07,0.500176897,0.5
3.628E-07,0.500176897,0.5
3.728E-07,0.500176897,0.5
3.828E-07,0.500176897,0.5
3.928E-07,0.500176898,0.5
4.028E-07,0.500176898,0.5
4.128E-07,0.500176898,0.5
4.228E-07,0.500176898,0.5
4.328E-07,0.500176898,0.5
4.428E-07,0.500176898,0.5
4.528E-07,0.500176898,0.5
4.628E-07,0.500176898,0.5
4.728E-07,0.500176898,0.5
4.828E-07,0.500176898,0.5
4.928E-07,0.500176898,0.5
5.028E-07,0.500176898,0.5
5.128E-07,0.500176898,0.5
5.228E-07,0.500176898,0.5
5.328E-07,0.500176898,0.5
5.428E-07,0.500176898,0.5
5.528E-07,0.500176898,0.5
5.628E-07,0.500176898,0.5
5.728E-07,0.500176898,0.5
5.828E-07,0.500176898,0.5
5.928E-07,0.500176898,0.5
6.028E-07,0.500176898,0.5
6.128E-07,0.500176898,0.5
6.228E-07,0.500176898,0.5
6.328E-07,0.500176899,0.5
6.428E-07,0.500176898,0.5
6.528E-07,0.500176899,0.5
6.628E-07,0.500176899,0.5
6.728E-07,0.500176899,0.5
6.828E-07,0.500176899,0.5
6.928E-07,0.500176899,0.5
7.028E-07,0.500176899,0.5
7.128E-07,0.500176899,0.5
7.228E-07,0.500176899,0.5
7.328E-07,0.500176899,0.5
7.428E-07,0.500176899,0.5
7.528E-07,0.500176899,0.5
